,Unnamed: 0,Symbol,Name,Unnamed: 2,Price,Change,Change %,Volume,Avg Vol (3M),Market Cap,P/E Ratio (TTM),52 Wk Change %,52 Wk Range
0,0,PTGX,"Protagonist Therapeutics, Inc.",,57.51 +19.16 (+49.96%),19.16,+49.96%,3.521M,725662,3.53B,13.60,27.32%,
1,1,VRN,Veren Inc.,,5.60 +0.69 (+14.05%),0.69,+14.05%,45.785M,16.737M,3.447B,17.50,-34.97%,
2,2,DNBBF,DNB Bank ASA,,25.62 +1.99 (+8.42%),1.99,+8.42%,1.045M,51662,37.986B,9.52,25.81%,
3,3,KTOS,"Kratos Defense & Security Solutions, Inc.",,29.48 +2.19 (+8.02%),2.19,+8.02%,3.608M,2.069M,4.506B,268.00,50.44%,
4,4,MWA,"Mueller Water Products, Inc.",,27.03 +1.98 (+7.90%),1.98,+7.90%,2.556M,1.336M,4.233B,31.07,59.35%,
5,5,ELF,"e.l.f. Beauty, Inc.",,76.25 +5.57 (+7.88%),5.57,+7.88%,2.822M,2.645M,4.3B,45.66,-63.56%,
6,6,BECN,"Beacon Roofing Supply, Inc.",,119.36 +8.26 (+7.44%),8.26,+7.44%,2.696M,821962,7.351B,21.01,30.12%,
7,7,TNXP,Tonix Pharmaceuticals Holding Corp.,,13.72 +0.70 (+5.38%),0.7,+5.38%,1.948M,1.975M,76.701M,-,-98.87%,
8,8,LSRCY,Lasertec Corporation,,20.02 +1.11 (+5.87%),1.11,+5.87%,20091,116200,9.028B,16.68,-62.68%,
9,9,ENPH,"Enphase Energy, Inc.",,65.13 +3.50 (+5.68%),3.5,+5.68%,3.76M,4.035M,8.628B,86.84,-52.11%,
10,10,AMKBY,A.P. Møller - Mærsk A/S,,9.63 +0.51 (+5.59%),0.51,+5.59%,89255,201637,29.427B,4.99,31.27%,
11,11,TTC,The Toro Company,,77.25 +4.00 (+5.46%),4.0,+5.46%,867641,1.078M,7.711B,19.76,-17.41%,
12,12,NSP,"Insperity, Inc.",,95.11 +4.75 (+5.26%),4.75,+5.26%,350528,439558,3.541B,39.30,-10.39%,
13,13,REGN,"Regeneron Pharmaceuticals, Inc.",,742.89 +35.38 (+5.00%),35.38,+5.00%,706257,899898,81.216B,19.37,-26.64%,
14,14,AAP,"Advance Auto Parts, Inc.",,37.12 +1.75 (+4.95%),1.75,+4.95%,2.365M,2.144M,2.22B,-,-53.32%,
15,15,WSC,WillScot Holdings Corporation,,29.46 +1.39 (+4.95%),1.39,+4.95%,3.977M,2.445M,5.408B,196.40,-39.04%,
16,16,AES,The AES Corporation,,11.80 +0.55 (+4.84%),0.55,+4.84%,9.594M,15.023M,8.387B,4.98,-31.36%,
17,17,CBT,Cabot Corporation,,88.89 +4.01 (+4.72%),4.01,+4.72%,283990,423451,4.82B,11.84,-3.76%,
18,18,BLTE,"Belite Bio, Inc",,66.16 +2.97 (+4.70%),2.97,+4.70%,116358,39818,2.107B,-,41.68%,
19,19,DFH,"Dream Finders Homes, Inc.",,26.59 +1.22 (+4.82%),1.22,+4.82%,282345,552039,2.485B,7.96,-33.85%,
20,20,ADM,Archer-Daniels-Midland Company,,51.60 +2.16 (+4.36%),2.16,+4.36%,3.357M,3.641M,24.75B,14.14,-9.96%,
21,21,DRPRY,Dr. Ing. h.c. F. Porsche AG,,6.21 +0.27 (+4.55%),0.27,+4.55%,18953,264724,28.287B,13.21,-32.54%,
22,22,ETSY,"Etsy, Inc.",,48.94 +2.15 (+4.58%),2.15,+4.58%,2.519M,3.736M,5.241B,20.83,-35.82%,
23,23,HCA,"HCA Healthcare, Inc.",,344.58 +14.43 (+4.37%),14.43,+4.37%,1.289M,1.613M,85.572B,15.67,2.77%,
24,24,SCI,Service Corporation International,,84.38 +3.52 (+4.35%),3.52,+4.35%,857803,1.141M,12.169B,23.90,7.66%,
25,25,EQNR,Equinor ASA,,24.17 +1.00 (+4.34%),1.0,+4.34%,3.504M,3.958M,65.657B,7.77,-10.47%,
26,26,WES,"Western Midstream Partners, LP",,40.60 +1.68 (+4.32%),1.68,+4.32%,956898,1.329M,15.482B,10.10,14.50%,
27,27,SMCAY,SMC Corporation,,19.64 +0.79 (+4.19%),0.79,+4.19%,52320,646891,25.038B,23.11,-35.33%,
28,28,RMD,ResMed Inc.,,242.02 +9.58 (+4.12%),9.58,+4.12%,757611,930212,35.545B,28.61,22.50%,
29,29,LNTH,"Lantheus Holdings, Inc.",,110.94 +4.60 (+4.33%),4.6,+4.33%,735690,901577,7.597B,25.44,69.55%,
30,30,AWK,"American Water Works Company, Inc.",,151.15 +5.75 (+3.95%),5.75,+3.95%,1.526M,1.32M,29.465B,28.04,20.83%,
31,31,FIZZ,National Beverage Corp.,,42.49 +1.62 (+3.95%),1.62,+3.95%,158630,185420,3.977B,21.35,-15.87%,
32,32,BIIB,Biogen Inc.,,156.01 +5.62 (+3.74%),5.62,+3.74%,1.103M,1.543M,22.835B,13.97,-34.64%,
33,33,PPC,Pilgrim's Pride Corporation,,56.71 +2.09 (+3.82%),2.09,+3.82%,519268,1.171M,13.446B,12.41,66.22%,
34,34,MKC,"McCormick & Company, Incorporated",,85.68 +3.06 (+3.70%),3.06,+3.70%,1.885M,1.954M,22.981B,29.34,18.21%,
35,35,NEE,"NextEra Energy, Inc.",,75.59 +2.76 (+3.79%),2.76,+3.79%,8.917M,10.844M,155.491B,22.43,25.85%,
36,36,NOC,Northrop Grumman Corporation,,503.93 +17.41 (+3.58%),17.41,+3.58%,767776,926800,72.947B,17.77,5.94%,
37,37,MEDP,"Medpace Holdings, Inc.",,344.43 +11.62 (+3.49%),11.62,+3.49%,285717,289586,10.494B,27.31,-17.49%,
38,38,CTSH,Cognizant Technology Solutions Corporation,,86.14 +2.91 (+3.50%),2.91,+3.50%,4.882M,3.387M,42.606B,19.10,8.15%,
39,39,PCAR,PACCAR Inc,,113.73 +3.67 (+3.33%),3.67,+3.33%,2.395M,2.406M,59.686B,14.40,-3.48%,
40,40,CWEN-A,"Clearway Energy, Inc.",,26.81 +0.89 (+3.43%),0.89,+3.43%,282057,192033,5.639B,35.75,25.10%,
41,41,UAA,"Under Armour, Inc.",,7.33 +0.25 (+3.53%),0.25,+3.53%,6.983M,10.564M,3.014B,-,-14.70%,
42,42,COLM,Columbia Sportswear Company,,86.81 +2.85 (+3.39%),2.85,+3.39%,463280,649450,4.804B,22.72,5.59%,
43,43,TSCO,Tractor Supply Company,,58.82 +1.93 (+3.39%),1.93,+3.39%,3.024M,5.282M,31.266B,28.83,14.29%,
44,44,CAG,"Conagra Brands, Inc.",,28.15 +0.92 (+3.38%),0.92,+3.38%,5.033M,5.714M,13.437B,27.33,-4.56%,
45,45,GIS,"General Mills, Inc.",,66.64 +2.14 (+3.32%),2.14,+3.32%,3.872M,4.883M,36.734B,14.49,-1.77%,
46,46,AEP,"American Electric Power Company, Inc.",,107.97 +3.35 (+3.20%),3.35,+3.20%,2.175M,3.197M,57.571B,19.35,24.95%,
47,47,HOG,"Harley-Davidson, Inc.",,26.92 +0.83 (+3.20%),0.83,+3.20%,2.638M,2.09M,3.353B,7.83,-33.14%,
48,48,CPB,The Campbell's Company,,43.18 +1.37 (+3.28%),1.37,+3.28%,1.983M,3.171M,12.875B,24.96,-2.79%,
49,49,NOG,"Northern Oil and Gas, Inc.",,28.39 +0.90 (+3.26%),0.9,+3.26%,1.275M,1.667M,2.813B,5.52,-25.20%,
50,50,ED,"Consolidated Edison, Inc.",,106.90 +3.26 (+3.15%),3.26,+3.15%,1.305M,2.608M,37.745B,20.40,14.14%,
51,51,BF-B,Brown-Forman Corporation,,38.10 +1.17 (+3.18%),1.17,+3.18%,2.513M,3.267M,17.952B,18.23,-33.05%,
52,52,BEPC,Brookfield Renewable Corporation,,28.54 +0.87 (+3.14%),0.87,+3.14%,531201,1.009M,5.157B,21.79,9.63%,
53,53,COP,ConocoPhillips,,93.43 +2.80 (+3.09%),2.8,+3.09%,5.56M,7.534M,118.878B,11.96,-21.36%,
54,54,GOLF,Acushnet Holdings Corp.,,70.57 +2.06 (+3.01%),2.06,+3.01%,202598,486168,4.229B,20.94,8.68%,
55,55,MGEE,"MGE Energy, Inc.",,92.74 +2.78 (+3.08%),2.78,+3.08%,107805,164260,3.386B,27.85,13.73%,
56,56,ORA,"Ormat Technologies, Inc.",,72.87 +2.23 (+3.16%),2.23,+3.16%,383297,665472,4.409B,35.72,4.25%,
57,57,LKQ,LKQ Corporation,,44.71 +1.33 (+3.07%),1.33,+3.07%,1.838M,2.364M,11.587B,17.00,-16.16%,
58,58,CWEN,"Clearway Energy, Inc.",,28.46 +0.84 (+3.03%),0.84,+3.03%,697980,856917,5.617B,37.94,23.91%,
59,59,IBP,"Installed Building Products, Inc.",,182.38 +5.34 (+3.01%),5.34,+3.01%,128889,359941,5.062B,20.04,-25.18%,
60,60,EXEL,"Exelixis, Inc.",,39.73 +1.15 (+2.98%),1.15,+2.98%,1.797M,2.521M,11.12B,22.57,71.77%,
61,61,DVA,DaVita Inc.,,151.41 +4.39 (+2.99%),4.39,+2.99%,648414,865275,12.113B,14.11,8.25%,
