symbol,price,price_change,price_percent_change,timestamp,source
RDUS,28.19,14.53,106.37,2025-03-14 17:30:21,wsj
AAOI,22.11,6.24,39.32,2025-03-14 17:30:21,wsj
QBTS,9.53,2.62,37.92,2025-03-14 17:30:21,wsj
RBRK,69.33,14.05,25.42,2025-03-14 17:30:21,wsj
GRRR,32.4,6.49,25.05,2025-03-14 17:30:21,wsj
WEST,6.8,1.29,23.41,2025-03-14 17:30:21,wsj
DM,2.5,0.46,22.54,2025-03-14 17:30:21,wsj
QUBT,6.7,1.21,22.02,2025-03-14 17:30:21,wsj
BTMD,3.71,0.64,20.85,2025-03-14 17:30:21,wsj
JFIN,11.75,1.92,19.5,2025-03-14 17:30:21,wsj
JL,4.68,0.76,19.26,2025-03-14 17:30:21,wsj
AIFF,4.12,0.66,19.14,2025-03-14 17:30:21,wsj
RGTI,10.42,1.67,19.09,2025-03-14 17:30:21,wsj
DOCU,87.79,13.09,17.52,2025-03-14 17:30:21,wsj
KINS,16.06,2.39,17.48,2025-03-14 17:30:21,wsj
PD,18.31,2.7,17.3,2025-03-14 17:30:21,wsj
MCTR,8.2,1.19,17.01,2025-03-14 17:30:21,wsj
SMTC,38.22,5.51,16.85,2025-03-14 17:30:21,wsj
EDBL,2.79,0.39,16.25,2025-03-14 17:30:21,wsj
SNOA,3.58,0.5,16.13,2025-03-14 17:30:21,wsj
CNSP,3.15,0.44,16.12,2025-03-14 17:30:21,wsj
MAXN,3.59,0.48,15.32,2025-03-14 17:30:21,wsj
GDOT,7.65,1.01,15.21,2025-03-14 17:30:21,wsj
LX,10.4,1.32,14.61,2025-03-14 17:30:21,wsj
CDLX,2.37,0.29,14.25,2025-03-14 17:30:21,wsj
ARQQ,14.8,1.83,14.11,2025-03-14 17:30:21,wsj
CRVO,6.61,0.82,14.09,2025-03-14 17:30:21,wsj
PTON,6.92,0.85,14.02,2025-03-14 17:30:21,wsj
SNBR,7.08,0.87,14.01,2025-03-14 17:30:21,wsj
FEIM,16.0,1.94,13.8,2025-03-14 17:30:21,wsj
IRBT,3.47,0.42,13.62,2025-03-14 17:30:21,wsj
MTEN,5.69,0.68,13.57,2025-03-14 17:30:21,wsj
WOLF,5.8,0.69,13.5,2025-03-14 17:30:21,wsj
LAES,3.1,0.36,13.14,2025-03-14 17:30:21,wsj
ZJK,4.92,0.57,13.1,2025-03-14 17:30:21,wsj
IONQ,24.1,2.73,12.77,2025-03-14 17:30:21,wsj
LTBR,9.2,1.04,12.75,2025-03-14 17:30:21,wsj
AFYA,18.27,2.05,12.64,2025-03-14 17:30:21,wsj
DXF,7.05,0.79,12.62,2025-03-14 17:30:21,wsj
ULTA,354.16,39.69,12.62,2025-03-14 17:30:21,wsj
WGS,100.54,11.22,12.56,2025-03-14 17:30:21,wsj
MOB,2.35,0.26,12.44,2025-03-14 17:30:21,wsj
TTAN,92.5,10.16,12.34,2025-03-14 17:30:21,wsj
SHCO,5.83,0.64,12.33,2025-03-14 17:30:21,wsj
IH,2.91,0.32,12.18,2025-03-14 17:30:21,wsj
EXOD,29.23,3.15,12.08,2025-03-14 17:30:21,wsj
PANL,5.42,0.58,12.06,2025-03-14 17:30:21,wsj
TGTX,41.47,4.41,11.9,2025-03-14 17:30:21,wsj
RCAT,5.5,0.58,11.89,2025-03-14 17:30:21,wsj
HNRG,11.23,1.19,11.85,2025-03-14 17:30:21,wsj
NVTS,2.5,0.27,11.83,2025-03-14 17:30:21,wsj
NOTV,2.94,0.31,11.81,2025-03-14 17:30:21,wsj
WRD,18.18,1.91,11.74,2025-03-14 17:30:21,wsj
TNXP,15.24,1.6,11.73,2025-03-14 17:30:21,wsj
DOYU,8.89,0.93,11.68,2025-03-14 17:30:21,wsj
PLCE,7.89,0.81,11.44,2025-03-14 17:30:21,wsj
LASE,3.58,0.37,11.43,2025-03-14 17:30:21,wsj
UFG,5.19,0.53,11.37,2025-03-14 17:30:21,wsj
SOUN,9.92,1.01,11.33,2025-03-14 17:30:21,wsj
CAR,61.75,6.26,11.28,2025-03-14 17:30:21,wsj
SGHT,2.68,0.27,11.23,2025-03-14 17:30:21,wsj
UMAC,6.29,0.63,11.13,2025-03-14 17:30:21,wsj
RSI,10.74,1.06,10.95,2025-03-14 17:30:21,wsj
CANG,3.66,0.36,10.91,2025-03-14 17:30:21,wsj
ALGS,11.4,1.12,10.89,2025-03-14 17:30:21,wsj
NBR,43.5,4.27,10.88,2025-03-14 17:30:21,wsj
EGY,4.2,0.41,10.82,2025-03-14 17:30:21,wsj
OKLO,26.54,2.58,10.79,2025-03-14 17:30:21,wsj
TEM,46.67,4.5,10.68,2025-03-14 17:30:21,wsj
SNTI,3.55,0.34,10.55,2025-03-14 17:30:21,wsj
TTEC,3.44,0.33,10.42,2025-03-14 17:30:21,wsj
JFB,3.94,0.37,10.36,2025-03-14 17:30:21,wsj
CCI,103.2,9.68,10.34,2025-03-14 17:30:21,wsj
VNET,11.48,1.07,10.34,2025-03-14 17:30:21,wsj
GLDD,8.64,0.81,10.27,2025-03-14 17:30:21,wsj
SMR,16.77,1.56,10.26,2025-03-14 17:30:21,wsj
WRAP,2.22,0.2,10.2,2025-03-14 17:30:21,wsj
LSF,5.19,0.48,10.19,2025-03-14 17:30:21,wsj
BBNX,15.45,1.41,10.04,2025-03-14 17:30:21,wsj
GENK,6.22,0.57,10.04,2025-03-14 17:30:21,wsj
MSTR,289.59,26.33,10.0,2025-03-14 17:30:21,wsj
OSS,2.86,0.26,10.0,2025-03-14 17:30:21,wsj
CMTG,3.97,0.36,9.97,2025-03-14 17:30:21,wsj
HTZ,3.7,0.34,9.94,2025-03-14 17:30:21,wsj
NRXP,2.28,0.2,9.9,2025-03-14 17:30:21,wsj
RAPP,11.01,0.99,9.88,2025-03-14 17:30:21,wsj
APLD,6.9,0.62,9.87,2025-03-14 17:30:21,wsj
RDW,10.3,0.92,9.81,2025-03-14 17:30:21,wsj
PSQH,2.59,0.23,9.75,2025-03-14 17:30:21,wsj
JUNE,5.65,0.5,9.71,2025-03-14 17:30:21,wsj
ALBT,4.93,0.43,9.67,2025-03-14 17:30:21,wsj
ANIX,3.08,0.27,9.61,2025-03-14 17:30:21,wsj
EEX,4.0,0.35,9.59,2025-03-14 17:30:21,wsj
AUR,6.86,0.59,9.5,2025-03-14 17:30:21,wsj
AISP,3.72,0.32,9.41,2025-03-14 17:30:21,wsj
HRTG,13.7,1.18,9.38,2025-03-14 17:30:21,wsj
SNDK,52.94,4.5,9.29,2025-03-14 17:30:21,wsj
DNA,7.06,0.6,9.27,2025-03-14 17:30:21,wsj
POET,3.86,0.33,9.19,2025-03-14 17:30:21,wsj
PDYN,7.03,0.58,8.99,2025-03-14 17:30:21,wsj
