symbol,price,price_change,price_percent_change,timestamp
IONQ,21.82,3.12,16.68,2025-03-12 22:42:00
CXM,9.42,1.34,16.58,2025-03-12 22:42:00
TLN,199.09,22.53,12.76,2025-03-12 22:42:00
DJTWW,12.19,1.28,11.77,2025-03-12 22:42:00
NBIS,28.4,2.95,11.59,2025-03-12 22:42:00
VKTX,29.55,3.03,11.43,2025-03-12 22:42:00
RGTI,8.95,0.9,11.18,2025-03-12 22:42:00
VIST,47.24,4.54,10.63,2025-03-12 22:42:00
RNA,32.61,3.03,10.24,2025-03-12 22:42:00
RNMBY,279.37,25.72,10.14,2025-03-12 22:42:00
TGS,26.71,2.44,10.05,2025-03-12 22:42:00
ACHR,7.48,0.67,9.84,2025-03-12 22:42:00
GEO,25.92,2.31,9.78,2025-03-12 22:42:00
CRDO,47.53,4.17,9.62,2025-03-12 22:42:00
FNMA,5.65,0.46,8.86,2025-03-12 22:42:00
CLF,9.79,0.77,8.54,2025-03-12 22:42:00
RKT,14.25,1.07,8.12,2025-03-12 22:42:00
AMTM,18.42,1.38,8.1,2025-03-12 22:42:00
VRNA,67.6,4.9,7.81,2025-03-12 22:42:00
SMMT,19.91,1.41,7.62,2025-03-12 22:42:00
TSLA,248.09,17.51,7.59,2025-03-12 22:42:00
ONTO,133.99,9.42,7.56,2025-03-12 22:42:00
MU,95.64,6.59,7.4,2025-03-12 22:42:00
CXW,20.09,1.36,7.26,2025-03-12 22:42:00
PLTR,83.65,5.6,7.17,2025-03-12 22:42:00
HOOD,38.92,2.56,7.04,2025-03-12 22:42:00
SOUN,9.13,0.59,6.91,2025-03-12 22:42:00
SMNEY,62.89,3.92,6.65,2025-03-12 22:42:00
ADMA,18.5,1.15,6.63,2025-03-12 22:42:00
VST,121.92,7.56,6.61,2025-03-12 22:42:00
BBAR,18.58,1.15,6.6,2025-03-12 22:42:00
NVDA,115.74,6.99,6.43,2025-03-12 22:42:00
RDDT,130.68,7.95,6.48,2025-03-12 22:42:00
UPST,49.66,3.01,6.45,2025-03-12 22:42:00
SITM,166.46,10.06,6.43,2025-03-12 22:42:00
VICR,53.31,3.22,6.43,2025-03-12 22:42:00
GLNG,34.04,2.05,6.39,2025-03-12 22:42:00
ACLX,72.72,4.36,6.38,2025-03-12 22:42:00
PTON,6.1,0.36,6.27,2025-03-12 22:42:00
YPF,33.89,2.0,6.27,2025-03-12 22:42:00
GGAL,57.78,3.39,6.23,2025-03-12 22:42:00
NVMI,224.75,13.11,6.19,2025-03-12 22:42:00
CASY,402.07,23.36,6.17,2025-03-12 22:42:00
RBRK,57.11,3.29,6.11,2025-03-12 22:42:00
ASAN,13.41,0.77,6.09,2025-03-12 22:42:00
DNLI,15.95,0.91,6.05,2025-03-12 22:42:00
PINS,33.28,1.89,6.02,2025-03-12 22:42:00
PAM,80.46,4.56,6.01,2025-03-12 22:42:00
MTSI,106.97,6.04,5.98,2025-03-12 22:42:00
BRZE,35.6,2.0,5.95,2025-03-12 22:42:00
AXON,557.89,31.25,5.93,2025-03-12 22:42:00
IOT,38.02,2.12,5.91,2025-03-12 22:42:00
