symbol,price,price_change,price_percent_change,timestamp,source
SIG,57.08,8.78,18.19,2025-03-19 17:30:10,yahoo
STNE,11.22,1.37,13.91,2025-03-19 17:30:10,yahoo
OLLI,109.43,10.37,10.47,2025-03-19 17:30:10,yahoo
SRAD,21.93,1.85,9.21,2025-03-19 17:30:10,yahoo
FMCC,5.07,0.4,8.57,2025-03-19 17:30:10,yahoo
HCM,16.25,1.3,8.7,2025-03-19 17:30:10,yahoo
SRPT,79.54,6.0,8.16,2025-03-19 17:30:10,yahoo
DJTWW,13.24,0.99,8.12,2025-03-19 17:30:10,yahoo
SHOP,100.98,6.97,7.42,2025-03-19 17:30:10,yahoo
CORZ,8.6,0.57,7.17,2025-03-19 17:30:10,yahoo
PAGS,8.42,0.53,6.72,2025-03-19 17:30:10,yahoo
FNMA,6.07,0.39,6.87,2025-03-19 17:30:10,yahoo
PTAIY,5.92,0.37,6.67,2025-03-19 17:30:10,yahoo
AFRM,46.59,2.89,6.61,2025-03-19 17:30:10,yahoo
WRBY,18.95,1.13,6.34,2025-03-19 17:30:10,yahoo
HIMS,33.41,1.92,6.1,2025-03-19 17:30:10,yahoo
SMTC,41.03,2.38,6.16,2025-03-19 17:30:10,yahoo
ROKU,71.56,4.2,6.23,2025-03-19 17:30:10,yahoo
IMPUY,6.91,0.41,6.31,2025-03-19 17:30:10,yahoo
COHR,69.36,3.98,6.08,2025-03-19 17:30:10,yahoo
NBIS,27.21,1.54,6.0,2025-03-19 17:30:10,yahoo
ADMA,19.92,1.21,6.44,2025-03-19 17:30:10,yahoo
DJT,21.26,1.17,5.82,2025-03-19 17:30:10,yahoo
GLNG,36.99,1.95,5.57,2025-03-19 17:30:10,yahoo
BBAR,18.5,0.87,4.93,2025-03-19 17:30:10,yahoo
BA,170.04,8.47,5.24,2025-03-19 17:30:10,yahoo
AUR,7.28,0.34,4.97,2025-03-19 17:30:10,yahoo
MSTR,296.89,13.7,4.84,2025-03-19 17:30:10,yahoo
BROS,66.07,3.06,4.85,2025-03-19 17:30:10,yahoo
BMA,81.5,3.55,4.55,2025-03-19 17:30:10,yahoo
XPEV,23.76,1.12,4.97,2025-03-19 17:30:10,yahoo
VRT,88.61,3.94,4.66,2025-03-19 17:30:10,yahoo
LB,75.52,3.17,4.38,2025-03-19 17:30:10,yahoo
FRO,16.55,0.73,4.65,2025-03-19 17:30:10,yahoo
PTEN,8.3,0.38,4.74,2025-03-19 17:30:10,yahoo
CAR,60.63,2.62,4.53,2025-03-19 17:30:10,yahoo
TGS,26.45,1.12,4.42,2025-03-19 17:30:10,yahoo
CZR,28.76,1.2,4.35,2025-03-19 17:30:10,yahoo
FIX,354.84,15.54,4.58,2025-03-19 17:30:10,yahoo
VRRM,21.24,0.92,4.53,2025-03-19 17:30:10,yahoo
VST,129.62,5.16,4.15,2025-03-19 17:30:10,yahoo
OKLO,27.18,1.16,4.46,2025-03-19 17:30:10,yahoo
CMBT,9.84,0.42,4.46,2025-03-19 17:30:10,yahoo
GEV,332.64,13.71,4.3,2025-03-19 17:30:10,yahoo
APP,290.11,11.27,4.04,2025-03-19 17:30:10,yahoo
ACVA,14.68,0.58,4.11,2025-03-19 17:30:10,yahoo
STRL,122.95,4.91,4.16,2025-03-19 17:30:10,yahoo
CRDO,45.97,1.9,4.3,2025-03-19 17:30:10,yahoo
CAVA,80.09,3.31,4.31,2025-03-19 17:30:10,yahoo
