symbol,price,price_change,price_percent_change,timestamp,source
RDUS,27.81,14.15,103.59,2025-03-16 14:31:21,wsj
USAR,18.55,7.76,72.0,2025-03-16 14:31:21,wsj
QBTS,10.15,3.24,46.89,2025-03-16 14:31:21,wsj
AAOI,22.11,6.24,39.32,2025-03-16 14:31:21,wsj
HCAI,8.4,1.95,30.23,2025-03-16 14:31:21,wsj
GRRR,33.59,7.68,29.64,2025-03-16 14:31:21,wsj
QUBT,7.09,1.6,29.14,2025-03-16 14:31:21,wsj
RGTI,11.22,2.47,28.23,2025-03-16 14:31:21,wsj
RBRK,70.64,15.36,27.79,2025-03-16 14:31:21,wsj
WEST,6.88,1.37,24.86,2025-03-16 14:31:21,wsj
AIFF,4.25,0.79,22.83,2025-03-16 14:31:21,wsj
BTMD,3.76,0.69,22.48,2025-03-16 14:31:21,wsj
DM,2.49,0.45,22.06,2025-03-16 14:31:21,wsj
DXF,7.63,1.37,21.88,2025-03-16 14:31:21,wsj
KINS,16.63,2.96,21.65,2025-03-16 14:31:21,wsj
LAES,3.32,0.58,21.17,2025-03-16 14:31:21,wsj
IRBT,3.7,0.65,21.11,2025-03-16 14:31:21,wsj
SMTC,39.6,6.89,21.06,2025-03-16 14:31:21,wsj
JL,4.74,0.82,20.82,2025-03-16 14:31:21,wsj
CJMB,5.3,0.9,20.45,2025-03-16 14:31:21,wsj
JFIN,11.82,1.99,20.24,2025-03-16 14:31:21,wsj
CDLX,2.47,0.4,19.32,2025-03-16 14:31:21,wsj
MAXN,3.69,0.58,18.65,2025-03-16 14:31:21,wsj
TSAT,25.35,3.96,18.51,2025-03-16 14:31:21,wsj
SNBR,7.35,1.14,18.36,2025-03-16 14:31:21,wsj
PLCE,8.37,1.29,18.22,2025-03-16 14:31:21,wsj
PD,18.38,2.77,17.75,2025-03-16 14:31:21,wsj
EDBL,2.82,0.42,17.5,2025-03-16 14:31:21,wsj
IONQ,25.0,3.63,16.99,2025-03-16 14:31:21,wsj
GDOT,7.74,1.1,16.57,2025-03-16 14:31:21,wsj
PTON,7.05,0.98,16.14,2025-03-16 14:31:21,wsj
LX,10.53,1.46,16.1,2025-03-16 14:31:21,wsj
SOUN,10.34,1.43,16.05,2025-03-16 14:31:21,wsj
OKLO,27.72,3.77,15.74,2025-03-16 14:31:21,wsj
ARQQ,15.0,2.03,15.65,2025-03-16 14:31:21,wsj
IH,2.99,0.4,15.44,2025-03-16 14:31:21,wsj
PTHL,4.18,0.55,15.15,2025-03-16 14:31:21,wsj
CNSP,3.12,0.41,15.13,2025-03-16 14:31:21,wsj
SMR,17.51,2.3,15.12,2025-03-16 14:31:21,wsj
RCAT,5.66,0.74,15.04,2025-03-16 14:31:21,wsj
DOCU,85.76,11.06,14.81,2025-03-16 14:31:21,wsj
SNOA,3.53,0.45,14.61,2025-03-16 14:31:21,wsj
LTBR,9.35,1.19,14.58,2025-03-16 14:31:21,wsj
CANG,3.78,0.48,14.55,2025-03-16 14:31:21,wsj
WOLF,5.85,0.74,14.48,2025-03-16 14:31:21,wsj
SHCO,5.94,0.75,14.45,2025-03-16 14:31:21,wsj
PDYN,7.38,0.93,14.42,2025-03-16 14:31:21,wsj
CSAI,5.1,0.64,14.35,2025-03-16 14:31:21,wsj
EGY,4.33,0.54,14.25,2025-03-16 14:31:21,wsj
ALT,5.92,0.72,13.85,2025-03-16 14:31:21,wsj
FEIM,16.0,1.94,13.8,2025-03-16 14:31:21,wsj
ULTA,357.48,43.01,13.68,2025-03-16 14:31:21,wsj
NRXP,2.35,0.28,13.53,2025-03-16 14:31:21,wsj
NOTV,2.98,0.35,13.52,2025-03-16 14:31:21,wsj
ALTS,4.64,0.55,13.45,2025-03-16 14:31:21,wsj
BNED,9.9,1.17,13.4,2025-03-16 14:31:21,wsj
LSF,5.34,0.63,13.38,2025-03-16 14:31:21,wsj
MTEN,5.68,0.67,13.37,2025-03-16 14:31:21,wsj
HTZ,3.82,0.45,13.2,2025-03-16 14:31:21,wsj
SNDK,54.82,6.38,13.17,2025-03-16 14:31:21,wsj
SGHT,2.72,0.32,13.1,2025-03-16 14:31:21,wsj
WRD,18.4,2.13,13.09,2025-03-16 14:31:21,wsj
UMAC,6.4,0.74,13.07,2025-03-16 14:31:21,wsj
ROOT,151.73,17.5,13.04,2025-03-16 14:31:21,wsj
RDW,10.6,1.22,13.01,2025-03-16 14:31:21,wsj
MSTR,297.49,34.23,13.0,2025-03-16 14:31:21,wsj
TTAN,93.0,10.66,12.95,2025-03-16 14:31:21,wsj
HGBL,2.36,0.27,12.92,2025-03-16 14:31:21,wsj
ZJK,4.91,0.56,12.87,2025-03-16 14:31:21,wsj
BAOS,2.37,0.27,12.86,2025-03-16 14:31:21,wsj
LASE,3.62,0.41,12.77,2025-03-16 14:31:21,wsj
WRAP,2.26,0.25,12.44,2025-03-16 14:31:21,wsj
PSQH,2.65,0.29,12.29,2025-03-16 14:31:21,wsj
PANL,5.43,0.59,12.19,2025-03-16 14:31:21,wsj
YOSH,20.19,2.19,12.17,2025-03-16 14:31:21,wsj
EEX,4.09,0.44,12.05,2025-03-16 14:31:21,wsj
GENK,6.33,0.68,12.04,2025-03-16 14:31:21,wsj
VNET,11.65,1.25,12.02,2025-03-16 14:31:21,wsj
TEM,47.17,5.0,11.87,2025-03-16 14:31:21,wsj
JUNE,5.76,0.61,11.84,2025-03-16 14:31:21,wsj
INOD,48.18,5.04,11.68,2025-03-16 14:31:21,wsj
CAR,61.95,6.46,11.64,2025-03-16 14:31:21,wsj
NVTS,2.5,0.26,11.61,2025-03-16 14:31:21,wsj
VERI,2.61,0.27,11.54,2025-03-16 14:31:21,wsj
OSS,2.9,0.3,11.54,2025-03-16 14:31:21,wsj
BYON,5.62,0.58,11.51,2025-03-16 14:31:21,wsj
APLD,7.0,0.72,11.46,2025-03-16 14:31:21,wsj
AUR,6.97,0.71,11.34,2025-03-16 14:31:21,wsj
BCTX,3.84,0.39,11.3,2025-03-16 14:31:21,wsj
ALGS,11.44,1.16,11.28,2025-03-16 14:31:21,wsj
ATLC,48.64,4.93,11.28,2025-03-16 14:31:21,wsj
CRVO,6.44,0.65,11.23,2025-03-16 14:31:21,wsj
POET,3.93,0.4,11.17,2025-03-16 14:31:21,wsj
AFYA,18.03,1.81,11.16,2025-03-16 14:31:21,wsj
TBH,4.86,0.48,11.1,2025-03-16 14:31:21,wsj
EH,24.18,2.41,11.07,2025-03-16 14:31:21,wsj
NBR,43.56,4.33,11.04,2025-03-16 14:31:21,wsj
MCTR,7.77,0.76,10.88,2025-03-16 14:31:21,wsj
QRHC,2.97,0.29,10.82,2025-03-16 14:31:21,wsj
SINT,3.42,0.33,10.68,2025-03-16 14:31:21,wsj
TNXP,19.85,3.57,21.92,2025-03-18 17:30:10,yahoo
FINV,10.71,1.59,17.47,2025-03-18 17:30:10,yahoo
JBSAY,13.65,2.0,17.17,2025-03-18 17:30:10,yahoo
TKAMY,11.48,1.43,14.23,2025-03-18 17:30:10,yahoo
TME,14.77,1.71,13.09,2025-03-18 17:30:10,yahoo
ESLT,413.0,43.74,11.85,2025-03-18 17:30:10,yahoo
BVHMF,8.2,0.65,8.61,2025-03-18 17:30:10,yahoo
NEXT,7.8,0.55,7.52,2025-03-18 17:30:10,yahoo
IMPUY,6.61,0.33,5.24,2025-03-18 17:30:10,yahoo
ALHC,16.92,0.83,5.16,2025-03-18 17:30:10,yahoo
BRRLY,13.6,0.67,5.18,2025-03-18 17:30:10,yahoo
XIACY,38.82,1.85,5.0,2025-03-18 17:30:10,yahoo
XIACF,7.77,0.36,4.92,2025-03-18 17:30:10,yahoo
RNMBY,315.79,14.79,4.91,2025-03-18 17:30:10,yahoo
RIVN,11.51,0.49,4.45,2025-03-18 17:30:10,yahoo
NIO,5.26,0.22,4.47,2025-03-18 17:30:10,yahoo
CNX,32.03,1.3,4.21,2025-03-18 17:30:10,yahoo
SITM,177.45,6.99,4.1,2025-03-18 17:30:10,yahoo
VWDRY,5.62,0.22,4.07,2025-03-18 17:30:10,yahoo
MYRG,125.4,4.9,4.07,2025-03-18 17:30:10,yahoo
CDE,6.68,0.25,3.89,2025-03-18 17:30:10,yahoo
DB,24.84,0.89,3.74,2025-03-18 17:30:10,yahoo
AU,34.23,1.24,3.76,2025-03-18 17:30:10,yahoo
MLTX,40.09,1.42,3.67,2025-03-18 17:30:10,yahoo
AG,7.36,0.26,3.74,2025-03-18 17:30:10,yahoo
SAN,7.12,0.24,3.53,2025-03-18 17:30:10,yahoo
EDU,52.59,1.79,3.52,2025-03-18 17:30:10,yahoo
GFI,21.35,0.7,3.39,2025-03-18 17:30:10,yahoo
BAYRY,6.77,0.22,3.36,2025-03-18 17:30:10,yahoo
FMCKJ,11.05,0.34,3.17,2025-03-18 17:30:10,yahoo
BYDDF,52.99,1.64,3.19,2025-03-18 17:30:10,yahoo
IPGP,65.31,1.99,3.14,2025-03-18 17:30:10,yahoo
NWG,12.26,0.36,3.07,2025-03-18 17:30:10,yahoo
TIGO,31.16,0.92,3.04,2025-03-18 17:30:10,yahoo
RDUS,27.82,14.16,103.66,2025-03-14 14:31:16,wsj
AAOI,21.43,5.56,35.03,2025-03-14 14:31:16,wsj
QBTS,9.12,2.21,32.05,2025-03-14 14:31:16,wsj
RBRK,69.56,14.28,25.83,2025-03-14 14:31:16,wsj
MTEN,6.25,1.24,24.75,2025-03-14 14:31:16,wsj
JFIN,11.8,1.97,20.04,2025-03-14 14:31:16,wsj
QUBT,6.54,1.04,19.03,2025-03-14 14:31:16,wsj
KINS,16.14,2.47,18.07,2025-03-14 14:31:16,wsj
DOYU,9.36,1.4,17.61,2025-03-14 14:31:16,wsj
RGTI,10.16,1.42,16.17,2025-03-14 14:31:16,wsj
QMCO,17.2,2.38,16.06,2025-03-14 14:31:16,wsj
WEST,6.37,0.86,15.66,2025-03-14 14:31:16,wsj
PD,18.03,2.42,15.5,2025-03-14 14:31:16,wsj
AIFF,3.99,0.53,15.18,2025-03-14 14:31:16,wsj
DOCU,86.01,11.31,15.14,2025-03-14 14:31:16,wsj
SMTC,37.42,4.71,14.41,2025-03-14 14:31:16,wsj
SNOA,3.52,0.44,14.29,2025-03-14 14:31:16,wsj
ARQQ,14.82,1.85,14.26,2025-03-14 14:31:16,wsj
GDOT,7.57,0.93,14.01,2025-03-14 14:31:16,wsj
PANL,5.51,0.67,13.84,2025-03-14 14:31:16,wsj
LAES,3.12,0.38,13.83,2025-03-14 14:31:16,wsj
LX,10.31,1.24,13.69,2025-03-14 14:31:16,wsj
BTMD,3.48,0.41,13.52,2025-03-14 14:31:16,wsj
EGY,4.3,0.51,13.44,2025-03-14 14:31:16,wsj
AFYA,18.4,2.18,13.44,2025-03-14 14:31:16,wsj
IONQ,24.2,2.83,13.24,2025-03-14 14:31:16,wsj
RCAT,5.56,0.65,13.11,2025-03-14 14:31:16,wsj
