,Unnamed: 0,Volume,Last,Chg,% Chg
0,Monogram Technologies Inc. (MGRM),15.1M,3.9,1.57,67.38
1,NanoVibronix Inc. (NAOV),35.5M,3.1,0.89,40.54
2,Regencell Bioscience Holdings Ltd. (RGC),851.3K,17.39,4.77,37.8
3,CervoMed Inc. (CRVO),12.0M,8.58,2.14,33.23
4,Guess? Inc. (GES),2.4M,12.42,2.73,28.09
5,Arqit Quantum Inc. (ARQQ),894.1K,18.73,3.73,24.85
6,Luminar Technologies Inc. (LAZR),1.9M,6.28,1.23,24.36
7,Dogwood Therapeutics Inc. (DWTX),223.5K,7.43,1.31,21.47
8,Montauk Renewables Inc. (MNTK),259.8K,2.5,0.44,21.31
9,Capstone Holding Corp. (CAPS),3.8M,3.01,0.51,20.4
10,Quantum Biopharma Ltd. (QNTM),306.6K,5.86,0.97,19.84
11,Cango Inc. ADR (CANG),468.4K,4.52,0.74,19.58
12,Annexon Inc. (ANNX),1.7M,3.04,0.44,16.92
13,Xponential Fitness Inc. (XPOF),695.5K,8.69,1.23,16.49
14,Niu Technologies ADR (NIU),3.2M,3.15,0.43,15.81
15,Quantum Corp. (QMCO),2.5M,17.66,2.32,15.12
16,Vertical Aerospace Ltd. (EVTL),228.2K,4.0,0.48,13.64
17,Skyline Builders Group Holding Ltd. Cl A (SKBL),496.2K,12.48,1.48,13.45
18,Yatsen Holding Ltd. ADR (YSG),418.4K,5.94,0.7,13.36
19,Sonoma Pharmaceuticals Inc. (SNOA),425.3K,3.98,0.45,12.75
20,Milestone Pharmaceuticals Inc. (MIST),1.4M,2.43,0.26,11.94
21,Satellogic Inc. (SATL),479.6K,3.98,0.4,11.3
22,Unusual Machines Inc. (UMAC),676.1K,7.1,0.7,11.01
23,Quantum Computing Inc. (QUBT),37.3M,7.85,0.76,10.72
24,Luda Technology Group Ltd. (LUD),95.2K,4.82,0.46,10.55
25,Mingteng International Corp. Inc. (MTEN),89.6K,6.27,0.59,10.39
26,Metsera Inc. (MTSR),65.7K,27.78,2.58,10.21
27,Science Applications International Corp. (SAIC),703.3K,115.06,10.63,10.17
28,LZ Technology Holdings Ltd. Cl B (LZMH),332.5K,10.14,0.92,9.91
29,U-BX Technology Ltd. (UBXG),57.5K,4.28,0.38,9.76
30,Power Solutions International Inc. (PSIX),103.3K,33.46,2.97,9.73
31,Knightscope Inc. (KSCP),118.7K,4.71,0.41,9.57
32,Qifu Technology Inc. ADR (QFIN),1.0M,47.0,3.81,8.82
33,Protalix BioTherapeutics Inc. (PLX),820.9K,2.44,0.2,8.71
34,Citizens Inc. Cl A (CIA),59.5K,5.05,0.38,8.14
35,Vera Bradley Inc. (VRA),76.3K,2.66,0.2,8.13
36,Calumet Inc. (CLMT),253.0K,13.04,0.98,8.13
37,Jiayin Group Inc. ADR (JFIN),166.6K,12.78,0.96,8.12
38,Kestra Medical Technologies Ltd. (KMTS),64.0K,23.0,1.73,8.11
39,Jet.AI Inc. (JTAI),51.6K,4.64,0.34,7.91
40,Intel Corp. (INTC),51.2M,25.95,1.9,7.88
41,Ascendis Pharma A/S ADR (ASND),281.3K,164.6,11.63,7.6
42,Intrepid Potash Inc. (IPI),82.2K,28.59,2.02,7.59
43,Flotek Industries Inc. (FTK),125.9K,10.12,0.7,7.48
44,B2Gold Corp. (BTG),15.4M,3.18,0.22,7.43
45,Perpetua Resources Corp. (PPTA),394.8K,10.56,0.72,7.32
46,Cal-Maine Foods Inc. (CALM),162.1K,89.07,6.04,7.27
47,SEALSQ Corp. (LAES),13.1M,3.56,0.24,7.23
48,Uni-Fuels Holdings Ltd. (UFG),86.1K,5.12,0.34,7.13
49,Limoneira Co. (LMNR),121.0K,19.79,1.28,6.92
50,Hudson Pacific Properties Inc. (HPP),282.7K,2.94,0.18,6.73
51,Synchronoss Technologies Inc. (SNCR),108.7K,11.61,0.72,6.61
52,American Eagle Outfitters Inc. (AEO),3.6M,11.76,0.7,6.37
53,Cloudastructure Inc. Cl A (CSAI),113.8K,5.42,0.32,6.27
54,Gain Therapeutics Inc. (GANX),61.5K,2.24,0.13,6.16
55,Gran Tierra Energy Inc. (GTE),120.0K,5.05,0.29,6.09
56,Concrete Pumping Holdings Inc. (BBCP),95.0K,5.98,0.34,6.03
57,Celsius Holdings Inc. (CELH),1.8M,28.69,1.61,5.95
58,Surf Air Mobility Inc. (SRFM),53.2K,3.88,0.21,5.86
59,Golden Entertainment Inc. (GDEN),68.7K,27.7,1.53,5.85
60,JinkoSolar Holding Co. Ltd. ADR (JKS),135.0K,23.07,1.27,5.83
61,Orla Mining Ltd. (ORLA),904.9K,9.21,0.5,5.74
62,Junee Ltd. (JUNE),63.9K,6.09,0.33,5.73
63,Uranium Energy Corp. (UEC),1.6M,5.37,0.29,5.71
64,Ameresco Inc. Cl A (AMRC),135.1K,11.14,0.6,5.69
65,Diversified Energy Co. PLC (DEC),82.1K,12.63,0.68,5.69
66,DouYu International Holdings Ltd. ADR (DOYU),121.8K,9.29,0.5,5.69
67,Beta Bionics Inc. (BBNX),78.9K,15.5,0.83,5.66
68,Children's Place Inc. (PLCE),79.9K,8.84,0.47,5.62
69,Upland Software Inc. (UPLD),61.0K,3.27,0.17,5.48
70,Portillo's Inc. (PTLO),333.7K,12.98,0.66,5.36
71,Andersons Inc. (ANDE),78.5K,44.16,2.25,5.36
72,Yiren Digital Ltd. ADR (YRD),70.9K,7.73,0.39,5.3
73,Sandisk Corp. (SNDK),633.2K,57.7,2.88,5.24
74,Victoria's Secret & Co. (VSCO),918.8K,19.54,0.97,5.22
75,Red Cat Holdings Inc. (RCAT),2.4M,5.96,0.29,5.21
76,Ouster Inc. (OUST),422.6K,8.38,0.41,5.21
77,Huntington Ingalls Industries Inc. (HII),189.9K,206.26,10.11,5.15
78,Macy's Inc. (M),2.1M,13.75,0.67,5.12
79,MINISO Group Holding Ltd. ADR (MNSO),440.8K,21.74,1.05,5.07
80,Verona Pharma PLC ADR (VRNA),198.3K,64.5,3.12,5.07
81,Paycom Software Inc. (PAYC),127.3K,218.52,10.53,5.06
82,Amber International Holding Ltd. ADR (AMBR),109.0K,12.48,0.6,5.05
83,Compania de Minas Buenaventura S.A. ADR (BVN),552.3K,15.58,0.74,4.99
84,Emerald Holding Inc. (EEX),63.5K,4.29,0.2,4.89
