,Unnamed: 0,Volume,Last,Chg,% Chg
0,Leishen Energy Holding Co. Ltd. (LSE),14.9M,12.5,4.73,60.88
1,Bowen Acquisition Corp. (BOWN),6.6M,6.38,2.06,47.51
2,Diginex Ltd. (DGNX),118.2K,103.0,30.94,42.94
3,Cloudastructure Inc. Cl A (CSAI),4.3M,7.9,2.33,41.83
4,TuHURA Biosciences Inc. (HURA),1.0M,3.85,1.05,37.5
5,Avalon GloboCare Corp. (ALBT),75.6K,6.54,1.73,35.97
6,Exodus Movement Inc. (EXOD),180.5K,40.75,10.49,34.67
7,Aditxt Inc. (ADTX),47.8M,10.03,2.53,33.73
8,COSCIENS Biopharma Inc. (CSCI),218.5K,4.35,1.02,30.63
9,Aterian Inc. (ATER),50.8M,2.7,0.59,27.96
10,Forte Biosciences Inc. (FBRX),53.7K,7.02,1.52,27.64
11,Pheton Holdings Ltd. Cl A (PTHL),138.9K,4.04,0.75,22.8
12,Service Properties Trust (SVC),6.1M,2.99,0.5,20.08
13,PMGC Holdings Inc. (ELAB),149.5K,5.64,0.94,20.0
14,Gyre Therapeutics Inc. (GYRE),542.6K,10.28,1.71,19.95
15,BGSF Inc. (BGSF),267.9K,4.21,0.66,18.59
16,LZ Technology Holdings Ltd. Cl B (LZMH),484.9K,11.3,1.74,18.2
17,Mangoceuticals Inc. (MGRX),217.0K,4.27,0.65,17.96
18,Signet Jewelers Ltd. (SIG),4.9M,56.65,8.35,17.29
19,3 E Network Technology Group Ltd. Cl A (MASK),70.1K,3.77,0.55,17.08
20,Kalaris Therapeutics Inc. (KLRS),92.0K,11.47,1.66,16.92
21,Biodexa Pharmaceuticals PLC ADR (BDRX),38.0M,2.34,0.33,16.13
22,Aeva Technologies Inc. (AEVA),1.3M,3.11,0.43,16.04
23,INmune Bio Inc. (INMB),368.9K,8.31,1.12,15.58
24,StoneCo Ltd. Cl A (STNE),21.1M,11.38,1.53,15.53
25,AirSculpt Technologies Inc. (AIRS),293.2K,2.99,0.4,15.44
26,Virgin Galactic Holdings Inc. (SPCE),7.5M,4.36,0.58,15.34
27,Wang & Lee Group Inc. (WLGS),2.6M,5.48,0.72,15.13
28,E.W. Scripps Co. Cl A (SSP),1.8M,3.36,0.44,15.07
29,Xunlei Ltd. ADR (XNET),1.9M,5.11,0.63,14.06
30,Venus Concept Inc. (VERO),107.1K,3.25,0.4,14.04
31,Sportradar Group AG Cl A (SRAD),4.1M,22.8,2.72,13.55
32,Semler Scientific Inc. (SMLR),515.9K,40.04,4.55,12.82
33,Iveda Solutions Inc. (IVDA),71.5K,3.32,0.37,12.54
34,GH Research PLC (GHRS),143.5K,11.86,1.26,11.89
35,NuScale Power Corp. (SMR),8.0M,18.53,1.95,11.76
36,Bitdeer Technologies Group (BTDR),3.6M,10.57,1.08,11.44
37,Akebia Therapeutics Inc. (AKBA),7.0M,2.84,0.29,11.37
38,Nexalin Technology Inc. (NXL),104.0K,2.45,0.25,11.36
39,Brazil Potash Corp. (GRO),391.5K,3.73,0.38,11.34
40,Superior Industries International Inc. (SUP),165.2K,2.36,0.24,11.32
41,trivago N.V. ADR (TRVG),190.7K,4.77,0.48,11.19
42,TeraWulf Inc. (WULF),39.7M,3.29,0.33,11.18
43,Gogo Inc. (GOGO),4.8M,7.7,0.77,11.11
44,LandBridge Co. LLC (LB),947.9K,80.2,7.85,10.85
45,Tivic Health Systems Inc. (TIVC),83.3K,3.48,0.33,10.48
