,symbol,price,price_change,price_percent_change
0,PTGX,57.51 +19.16 (+49.96%),19.16,+49.96%
1,VRN,5.60 +0.69 (+14.05%),0.69,+14.05%
2,DNBBF,25.62 +1.99 (+8.42%),1.99,+8.42%
3,KTOS,29.48 +2.19 (+8.02%),2.19,+8.02%
4,MWA,27.03 +1.98 (+7.90%),1.98,+7.90%
5,ELF,76.25 +5.57 (+7.88%),5.57,+7.88%
6,BECN,119.36 +8.26 (+7.44%),8.26,+7.44%
7,TNXP,13.72 +0.70 (+5.38%),0.7,+5.38%
8,LSRCY,20.02 +1.11 (+5.87%),1.11,+5.87%
9,ENPH,65.13 +3.50 (+5.68%),3.5,+5.68%
10,AMKBY,9.63 +0.51 (+5.59%),0.51,+5.59%
11,TTC,77.25 +4.00 (+5.46%),4.0,+5.46%
12,NSP,95.11 +4.75 (+5.26%),4.75,+5.26%
13,REGN,742.89 +35.38 (+5.00%),35.38,+5.00%
14,AAP,37.12 +1.75 (+4.95%),1.75,+4.95%
15,WSC,29.46 +1.39 (+4.95%),1.39,+4.95%
16,AES,11.80 +0.55 (+4.84%),0.55,+4.84%
17,CBT,88.89 +4.01 (+4.72%),4.01,+4.72%
18,BLTE,66.16 +2.97 (+4.70%),2.97,+4.70%
19,DFH,26.59 +1.22 (+4.82%),1.22,+4.82%
20,ADM,51.60 +2.16 (+4.36%),2.16,+4.36%
21,DRPRY,6.21 +0.27 (+4.55%),0.27,+4.55%
22,ETSY,48.94 +2.15 (+4.58%),2.15,+4.58%
23,HCA,344.58 +14.43 (+4.37%),14.43,+4.37%
24,SCI,84.38 +3.52 (+4.35%),3.52,+4.35%
25,EQNR,24.17 +1.00 (+4.34%),1.0,+4.34%
26,WES,40.60 +1.68 (+4.32%),1.68,+4.32%
27,SMCAY,19.64 +0.79 (+4.19%),0.79,+4.19%
28,RMD,242.02 +9.58 (+4.12%),9.58,+4.12%
29,LNTH,110.94 +4.60 (+4.33%),4.6,+4.33%
30,AWK,151.15 +5.75 (+3.95%),5.75,+3.95%
31,FIZZ,42.49 +1.62 (+3.95%),1.62,+3.95%
32,BIIB,156.01 +5.62 (+3.74%),5.62,+3.74%
33,PPC,56.71 +2.09 (+3.82%),2.09,+3.82%
34,MKC,85.68 +3.06 (+3.70%),3.06,+3.70%
35,NEE,75.59 +2.76 (+3.79%),2.76,+3.79%
36,NOC,503.93 +17.41 (+3.58%),17.41,+3.58%
37,MEDP,344.43 +11.62 (+3.49%),11.62,+3.49%
38,CTSH,86.14 +2.91 (+3.50%),2.91,+3.50%
39,PCAR,113.73 +3.67 (+3.33%),3.67,+3.33%
40,CWEN-A,26.81 +0.89 (+3.43%),0.89,+3.43%
41,UAA,7.33 +0.25 (+3.53%),0.25,+3.53%
42,COLM,86.81 +2.85 (+3.39%),2.85,+3.39%
43,TSCO,58.82 +1.93 (+3.39%),1.93,+3.39%
44,CAG,28.15 +0.92 (+3.38%),0.92,+3.38%
45,GIS,66.64 +2.14 (+3.32%),2.14,+3.32%
46,AEP,107.97 +3.35 (+3.20%),3.35,+3.20%
47,HOG,26.92 +0.83 (+3.20%),0.83,+3.20%
48,CPB,43.18 +1.37 (+3.28%),1.37,+3.28%
49,NOG,28.39 +0.90 (+3.26%),0.9,+3.26%
50,ED,106.90 +3.26 (+3.15%),3.26,+3.15%
51,BF-B,38.10 +1.17 (+3.18%),1.17,+3.18%
52,BEPC,28.54 +0.87 (+3.14%),0.87,+3.14%
53,COP,93.43 +2.80 (+3.09%),2.8,+3.09%
54,GOLF,70.57 +2.06 (+3.01%),2.06,+3.01%
55,MGEE,92.74 +2.78 (+3.08%),2.78,+3.08%
56,ORA,72.87 +2.23 (+3.16%),2.23,+3.16%
57,LKQ,44.71 +1.33 (+3.07%),1.33,+3.07%
58,CWEN,28.46 +0.84 (+3.03%),0.84,+3.03%
59,IBP,182.38 +5.34 (+3.01%),5.34,+3.01%
60,EXEL,39.73 +1.15 (+2.98%),1.15,+2.98%
61,DVA,151.41 +4.39 (+2.99%),4.39,+2.99%
