,Symbol,Name,Unnamed: 2,Price,Change,Change %,Volume,Avg Vol (3M),Market Cap,P/E Ratio (TTM),52 Wk Change %,52 Wk Range
0,SIG,Signet Jewelers Limited,,56.65 +8.35 (+17.29%),8.35,+17.29%,4.892M,1.597M,2.464B,6.63,-46.38%,
1,STNE,StoneCo Ltd.,,11.38 +1.53 (+15.53%),1.53,+15.53%,21.121M,5.963M,3.377B,-,-41.30%,
2,SRAD,Sportradar Group AG,,22.80 +2.72 (+13.55%),2.72,+13.55%,4.092M,827744,6.793B,162.86,78.81%,
3,LB,LandBridge Company LLC,,80.20 +7.85 (+10.85%),7.85,+10.85%,919209,617363,6.131B,-,212.53%,
4,ADMA,"ADMA Biologics, Inc.",,20.61 +1.90 (+10.16%),1.9,+10.16%,5.617M,2.548M,4.877B,25.44,196.04%,
5,AFRM,"Affirm Holdings, Inc.",,47.71 +4.01 (+9.18%),4.01,+9.18%,10.693M,7.124M,15.272B,-,15.64%,
6,OLLI,"Ollie's Bargain Outlet Holdings, Inc.",,107.94 +8.88 (+8.96%),8.88,+8.96%,3.503M,1.023M,6.614B,32.12,29.85%,
7,FMCC,Federal Home Loan Mortgage Corporation,,5.08 +0.41 (+8.78%),0.41,+8.78%,948283,6.495M,3.302B,-,221.09%,
8,SRPT,"Sarepta Therapeutics, Inc.",,79.97 +6.43 (+8.74%),6.43,+8.74%,4.999M,1.097M,7.76B,34.18,-41.67%,
9,CORZ,"Core Scientific, Inc.",,8.68 +0.66 (+8.23%),0.66,+8.23%,13.139M,13.651M,2.553B,-,140.12%,
10,HCM,HUTCHMED (China) Limited,,16.18 +1.23 (+8.23%),1.23,+8.23%,179317,79658,2.766B,-,-13.78%,
11,SHOP,Shopify Inc.,,101.54 +7.53 (+8.01%),7.53,+8.01%,17.484M,7.924M,131.449B,65.51,15.59%,
12,PAGS,PagSeguro Digital Ltd.,,8.52 +0.63 (+7.98%),0.63,+7.98%,5.201M,4.456M,2.589B,7.41,-45.09%,
13,OKLO,Oklo Inc.,,28.05 +2.03 (+7.80%),2.03,+7.80%,8.953M,17.846M,3.837B,-,140.26%,
14,SMTC,Semtech Corporation,,41.61 +2.96 (+7.66%),2.96,+7.66%,3.156M,2.711M,3.586B,-,72.70%,
15,HIMS,"Hims & Hers Health, Inc.",,33.88 +2.39 (+7.59%),2.39,+7.59%,17.606M,20.928M,7.527B,63.92,91.08%,
16,AUR,"Aurora Innovation, Inc.",,7.46 +0.52 (+7.49%),0.52,+7.49%,11.096M,14.837M,12.984B,-,184.43%,
17,NBIS,Nebius Group N.V.,,27.58 +1.91 (+7.44%),1.91,+7.44%,9.019M,12.454M,6.502B,-,28.35%,
18,MSTR,MicroStrategy Incorporated,,304.23 +21.04 (+7.43%),21.04,+7.43%,19.044M,19.02M,79.227B,-,83.11%,
19,IMPUY,Impala Platinum Holdings Limited,,6.98 +0.48 (+7.38%),0.48,+7.38%,114534,208043,6.383B,-,61.03%,
20,STRL,"Sterling Infrastructure, Inc.",,126.69 +8.65 (+7.33%),8.65,+7.33%,552135,593127,3.877B,15.32,7.61%,
21,WGS,GeneDx Holdings Corp.,,97.44 +6.65 (+7.32%),6.65,+7.32%,592361,1.035M,2.735B,-,966.86%,
22,ROKU,"Roku, Inc.",,72.14 +4.78 (+7.10%),4.78,+7.10%,6.772M,3.543M,10.528B,-,3.71%,
23,BA,The Boeing Company,,172.62 +11.05 (+6.84%),11.05,+6.84%,13.053M,8.129M,129.88B,-,-13.96%,
24,HOOD,"Robinhood Markets, Inc.",,42.80 +2.70 (+6.73%),2.7,+6.73%,55.384M,31.8M,37.898B,27.44,116.06%,
25,COHR,Coherent Corp.,,69.77 +4.39 (+6.71%),4.39,+6.71%,4.188M,3.832M,10.812B,-,8.95%,
26,TGS,Transportadora de Gas del Sur S.A.,,27.03 +1.70 (+6.71%),1.7,+6.71%,533228,336948,4.936B,28.76,76.64%,
27,NEXT,NextDecade Corporation,,9.07 +0.57 (+6.71%),0.57,+6.71%,2.004M,1.791M,2.362B,-,50.71%,
28,UPST,"Upstart Holdings, Inc.",,51.00 +3.21 (+6.72%),3.21,+6.72%,4.709M,5.775M,4.779B,-,79.93%,
29,BBAR,Banco BBVA Argentina S.A.,,18.80 +1.17 (+6.64%),1.17,+6.64%,748335,846279,4.675B,11.60,115.26%,
30,WRBY,Warby Parker Inc.,,19.00 +1.18 (+6.62%),1.18,+6.62%,3.895M,1.943M,2.296B,-,46.07%,
31,GEO,"The GEO Group, Inc.",,28.17 +1.74 (+6.58%),1.74,+6.58%,2.912M,2.911M,3.954B,128.05,87.98%,
32,SOFI,"SoFi Technologies, Inc.",,12.73 +0.78 (+6.53%),0.78,+6.53%,46.074M,44.971M,13.959B,32.64,62.36%,
33,APP,AppLovin Corporation,,297.03 +18.19 (+6.52%),18.19,+6.52%,6.877M,7.103M,100.978B,65.71,295.41%,
34,FQVLF,First Quantum Minerals Ltd.,,16.20 +0.99 (+6.51%),0.99,+6.51%,20267,180220,13.518B,-,40.95%,
35,TGTX,"TG Therapeutics, Inc.",,42.47 +2.59 (+6.49%),2.59,+6.49%,2.245M,2.565M,6.671B,283.13,159.47%,
36,FTAI,FTAI Aviation Ltd.,,109.01 +6.62 (+6.47%),6.62,+6.47%,1.148M,3.206M,11.179B,-,61.73%,
37,PTEN,"Patterson-UTI Energy, Inc.",,8.43 +0.51 (+6.44%),0.51,+6.44%,12.233M,10.448M,3.257B,-,-32.48%,
38,BMA,Banco Macro S.A.,,82.94 +4.99 (+6.40%),4.99,+6.40%,208942,332793,6.339B,10.79,61.72%,
39,MIRM,"Mirum Pharmaceuticals, Inc.",,47.13 +2.82 (+6.36%),2.82,+6.36%,510086,513218,2.31B,-,64.17%,
40,GLNG,Golar LNG Limited,,37.20 +2.16 (+6.16%),2.16,+6.16%,1.852M,1.373M,3.887B,310.00,42.67%,
41,CRDO,Credo Technology Group Holding Ltd,,46.77 +2.70 (+6.13%),2.7,+6.13%,4.573M,5.731M,7.942B,1559.00,113.10%,
42,DJTWW,Trump Media & Technology Group Corp.,,12.99 +0.74 (+6.04%),0.74,+6.04%,83745,105686,4.148B,-,-13.40%,
43,ECG,"Everus Construction Group, Inc.",,39.96 +2.27 (+6.02%),2.27,+6.02%,334370,721844,2.038B,14.22,-23.08%,
44,FNMA,Federal National Mortgage Association,,6.02 +0.34 (+5.99%),0.34,+5.99%,3.332M,16.94M,6.972B,-,213.89%,
45,EAT,"Brinker International, Inc.",,141.41 +7.95 (+5.96%),7.95,+5.96%,1.252M,1.39M,6.28B,24.59,183.35%,
46,OWL,Blue Owl Capital Inc.,,21.01 +1.18 (+5.95%),1.18,+5.95%,13.361M,6.388M,32.089B,105.05,10.54%,
47,RCL,Royal Caribbean Cruises Ltd.,,215.12 +11.74 (+5.77%),11.74,+5.77%,2.214M,2.689M,57.895B,19.66,50.06%,
48,SMCI,"Super Micro Computer, Inc.",,40.10 +2.20 (+5.80%),2.2,+5.80%,59.983M,72.264M,23.799B,17.43,-57.72%,
49,CVNA,Carvana Co.,,176.09 +9.57 (+5.75%),9.57,+5.75%,5.69M,4.179M,20.593B,111.45,92.69%,
50,CZR,"Caesars Entertainment, Inc.",,29.12 +1.56 (+5.66%),1.56,+5.66%,8.095M,4.999M,6.174B,-,-33.97%,
51,IESC,"IES Holdings, Inc.",,189.44 +10.07 (+5.61%),10.07,+5.61%,124241,224653,3.79B,17.64,62.37%,
52,MOD,Modine Manufacturing Company,,87.70 +4.66 (+5.61%),4.66,+5.61%,1.035M,1.317M,4.611B,29.53,-16.12%,
53,RYTM,"Rhythm Pharmaceuticals, Inc.",,55.21 +2.92 (+5.58%),2.92,+5.58%,688521,518650,3.491B,-,31.78%,
54,APH,Amphenol Corporation,,67.41 +3.56 (+5.58%),3.56,+5.58%,13.506M,7.607M,81.639B,35.11,13.91%,
55,SNEX,StoneX Group Inc.,,119.83 +6.32 (+5.57%),6.32,+5.57%,339648,235593,3.845B,14.32,65.61%,
