,symbol,price,price_change,price_percent_change
0,PLTR,103.83 +20.09 (+23.99%),20.09,+23.99%
1,SPOT,621.77 +72.69 (+13.24%),72.69,+13.24%
2,GRAB,5.11 +0.57 (+12.56%),0.57,+12.56%
3,IFNNY,35.70 +3.72 (+11.63%),3.72,+11.63%
4,SOUN,15.71 +1.47 (+10.32%),1.47,+10.32%
5,MP,24.47 +2.24 (+10.08%),2.24,+10.08%
6,ATI,63.72 +5.76 (+9.94%),5.76,+9.94%
7,FQVLF,13.29 +1.17 (+9.65%),1.17,+9.65%
8,PBF,30.35 +2.63 (+9.49%),2.63,+9.49%
9,CLS,131.98 +11.10 (+9.18%),11.1,+9.18%
10,DASTY,42.00 +3.52 (+9.15%),3.52,+9.15%
11,SMCI,29.16 +2.31 (+8.60%),2.31,+8.60%
12,LANC,180.96 +14.46 (+8.68%),14.46,+8.68%
13,PDD,114.05 +8.81 (+8.37%),8.81,+8.37%
14,XPEV,16.99 +1.30 (+8.29%),1.3,+8.29%
15,AXTA,38.01 +2.90 (+8.26%),2.9,+8.26%
16,GBOOF,7.23 +0.55 (+8.23%),0.55,+8.23%
17,AI,33.77 +2.56 (+8.20%),2.56,+8.20%
18,CLF,10.52 +0.78 (+8.01%),0.78,+8.01%
19,GENI,9.48 +0.68 (+7.73%),0.68,+7.73%
20,AVAV,186.12 +13.14 (+7.60%),13.14,+7.60%
21,ASTS,23.09 +1.62 (+7.55%),1.62,+7.55%
22,PAGS,7.84 +0.55 (+7.54%),0.55,+7.54%
23,FRO,18.87 +1.32 (+7.52%),1.32,+7.52%
24,HIMS,41.85 +2.92 (+7.50%),2.92,+7.50%
25,CRVL,124.63 +8.66 (+7.47%),8.66,+7.47%
26,SWTX,38.40 +2.58 (+7.20%),2.58,+7.20%
27,RACE,459.30 +30.36 (+7.08%),30.36,+7.08%
28,SUPN,40.00 +2.64 (+7.07%),2.64,+7.07%
29,VIPS,14.84 +0.95 (+6.84%),0.95,+6.84%
30,FNMAS,11.76 +0.75 (+6.81%),0.75,+6.81%
31,RMBS,64.44 +4.09 (+6.78%),4.09,+6.78%
32,MPC,156.91 +9.91 (+6.74%),9.91,+6.74%
33,DINO,37.96 +2.39 (+6.72%),2.39,+6.72%
34,PCRHY,10.56 +0.66 (+6.67%),0.66,+6.67%
35,RDDT,215.31 +13.00 (+6.43%),13.0,+6.43%
